vehicle_id,model,vehicle_age,segment,fuel_type,airbags,ncap_rating,is_parking_camera,is_speed_alert,is_brake_assist,customer_id
56,M1,0.2,A,CNG,2,0,No,Yes,No,56
57,M4,2.2,C2,Diesel,6,3,Yes,Yes,Yes,57
58,M4,1.2,C2,Diesel,6,3,Yes,Yes,Yes,58
59,M6,1.0,B2,Petrol,2,2,No,Yes,Yes,59
60,M4,1.0,C2,Diesel,6,3,Yes,Yes,Yes,60
61,M7,1.4,B2,Petrol,6,0,Yes,Yes,Yes,61
62,M1,0.2,A,CNG,2,0,No,Yes,No,62
63,M1,0.4,A,CNG,2,0,No,Yes,No,63
64,M6,0.2,B2,Petrol,2,2,No,Yes,Yes,64
65,M6,2.6,B2,Petrol,2,2,No,Yes,Yes,65
66,M8,1.6,B1,CNG,2,2,No,Yes,No,66
67,M1,0.2,A,CNG,2,0,No,Yes,No,67
68,M4,1.4,C2,Diesel,6,3,Yes,Yes,Yes,68
69,M1,0.2,A,CNG,2,0,No,Yes,No,69
70,M1,1.0,A,CNG,2,0,No,Yes,No,70
71,M1,0.4,A,CNG,2,0,No,Yes,No,71
72,M6,0.8,B2,Petrol,2,2,No,Yes,Yes,72
73,M6,1.6,B2,Petrol,2,2,No,Yes,Yes,73
74,M7,1.8,B2,Petrol,6,0,Yes,Yes,Yes,74
75,M1,0.8,A,CNG,2,0,No,Yes,No,75
76,M6,2.4,B2,Petrol,2,2,No,Yes,Yes,76
77,M10,3.6,Utility,CNG,1,0,No,Yes,No,77
78,M1,0.0,A,CNG,2,0,No,Yes,No,78
79,M1,0.2,A,CNG,2,0,No,Yes,No,79
80,M4,0.8,C2,Diesel,6,3,Yes,Yes,Yes,80
81,M4,0.6,C2,Diesel,6,3,Yes,Yes,Yes,81
82,M3,1.2,A,Petrol,2,2,Yes,Yes,No,82
83,M6,1.2,B2,Petrol,2,2,No,Yes,Yes,83
84,M8,0.4,B1,CNG,2,2,No,Yes,No,84
85,M6,2.0,B2,Petrol,2,2,No,Yes,Yes,85
86,M1,1.0,A,CNG,2,0,No,Yes,No,86
87,M8,0.4,B1,CNG,2,2,No,Yes,No,87
88,M1,0.6,A,CNG,2,0,No,Yes,No,88
89,M9,0.2,C1,Diesel,2,4,Yes,Yes,No,89
90,M10,2.6,Utility,CNG,1,0,No,Yes,No,90
91,M6,2.8,B2,Petrol,2,2,No,Yes,Yes,91
92,M6,0.4,B2,Petrol,2,2,No,Yes,Yes,92
93,M4,1.2,C2,Diesel,6,3,Yes,Yes,Yes,93
94,M1,1.0,A,CNG,2,0,No,Yes,No,94
95,M7,0.6,B2,Petrol,6,0,Yes,Yes,Yes,95
96,M6,1.6,B2,Petrol,2,2,No,Yes,Yes,96
97,M8,2.6,B1,CNG,2,2,No,Yes,No,97
98,M1,0.2,A,CNG,2,0,No,Yes,No,98
99,M4,2.0,C2,Diesel,6,3,Yes,Yes,Yes,99
100,M4,1.4,C2,Diesel,6,3,Yes,Yes,Yes,100
101,M1,0.0,A,CNG,2,0,No,Yes,No,101
102,M6,0.2,B2,Petrol,2,2,No,Yes,Yes,102
103,M3,0.2,A,Petrol,2,2,Yes,Yes,No,103
104,M6,1.6,B2,Petrol,2,2,No,Yes,Yes,104
105,M1,0.6,A,CNG,2,0,No,Yes,No,105
106,M1,0.8,A,CNG,2,0,No,Yes,No,106
107,M1,0.0,A,CNG,2,0,No,Yes,No,107
108,M6,1.0,B2,Petrol,2,2,No,Yes,Yes,108
109,M4,1.6,C2,Diesel,6,3,Yes,Yes,Yes,109
110,M7,1.4,B2,Petrol,6,0,Yes,Yes,Yes,110
111,M7,1.2,B2,Petrol,6,0,Yes,Yes,Yes,111
112,M6,0.8,B2,Petrol,2,2,No,Yes,Yes,112
113,M1,0.2,A,CNG,2,0,No,Yes,No,113
114,M4,2.6,C2,Diesel,6,3,Yes,Yes,Yes,114
115,M4,0.2,C2,Diesel,6,3,Yes,Yes,Yes,115
116,M9,0.6,C1,Diesel,2,4,Yes,Yes,No,116
117,M4,4.0,C2,Diesel,6,3,Yes,Yes,Yes,117
118,M4,2.2,C2,Diesel,6,3,Yes,Yes,Yes,118
119,M6,1.2,B2,Petrol,2,2,No,Yes,Yes,119
120,M6,2.4,B2,Petrol,2,2,No,Yes,Yes,120
121,M1,0.0,A,CNG,2,0,No,Yes,No,121
122,M7,2.4,B2,Petrol,6,0,Yes,Yes,Yes,122
123,M1,0.4,A,CNG,2,0,No,Yes,No,123
124,M4,1.4,C2,Diesel,6,3,Yes,Yes,Yes,124
125,M4,2.8,C2,Diesel,6,3,Yes,Yes,Yes,125
126,M3,0.0,A,Petrol,2,2,Yes,Yes,No,126
127,M10,1.0,Utility,CNG,1,0,No,Yes,No,127
128,M4,0.6,C2,Diesel,6,3,Yes,Yes,Yes,128
129,M4,2.4,C2,Diesel,6,3,Yes,Yes,Yes,129
130,M8,1.6,B1,CNG,2,2,No,Yes,No,130
131,M6,0.0,B2,Petrol,2,2,No,Yes,Yes,131
132,M4,0.2,C2,Diesel,6,3,Yes,Yes,Yes,132
133,M6,1.8,B2,Petrol,2,2,No,Yes,Yes,133
134,M4,2.6,C2,Diesel,6,3,Yes,Yes,Yes,134
135,M4,0.4,C2,Diesel,6,3,Yes,Yes,Yes,135
136,M1,0.4,A,CNG,2,0,No,Yes,No,136
137,M1,0.2,A,CNG,2,0,No,Yes,No,137
138,M9,1.4,C1,Diesel,2,4,Yes,Yes,No,138
139,M6,2.6,B2,Petrol,2,2,No,Yes,Yes,139
140,M6,3.0,B2,Petrol,2,2,No,Yes,Yes,140
141,M6,3.4,B2,Petrol,2,2,No,Yes,Yes,141
142,M3,1.0,A,Petrol,2,2,Yes,Yes,No,142
143,M3,2.6,A,Petrol,2,2,Yes,Yes,No,143
144,M6,0.8,B2,Petrol,2,2,No,Yes,Yes,144
145,M5,1.6,B2,Diesel,2,5,No,Yes,No,145
146,M4,1.2,C2,Diesel,6,3,Yes,Yes,Yes,146
147,M8,0.4,B1,CNG,2,2,No,Yes,No,147
148,M1,0.0,A,CNG,2,0,No,Yes,No,148
149,M1,1.0,A,CNG,2,0,No,Yes,No,149
150,M6,2.2,B2,Petrol,2,2,No,Yes,Yes,150
151,M6,1.8,B2,Petrol,2,2,No,Yes,Yes,151
152,M1,0.0,A,CNG,2,0,No,Yes,No,152
153,M1,0.2,A,CNG,2,0,No,Yes,No,153
154,M1,0.0,A,CNG,2,0,No,Yes,No,154
155,M1,1.0,A,CNG,2,0,No,Yes,No,155
156,M1,0.6,A,CNG,2,0,No,Yes,No,156
157,M1,1.0,A,CNG,2,0,No,Yes,No,157
158,M4,0.6,C2,Diesel,6,3,Yes,Yes,Yes,158
159,M1,1.0,A,CNG,2,0,No,Yes,No,159
160,M6,1.0,B2,Petrol,2,2,No,Yes,Yes,160
161,M4,2.8,C2,Diesel,6,3,Yes,Yes,Yes,161
162,M1,0.4,A,CNG,2,0,No,Yes,No,162
163,M6,1.2,B2,Petrol,2,2,No,Yes,Yes,163
164,M8,3.4,B1,CNG,2,2,No,Yes,No,164
165,M1,0.2,A,CNG,2,0,No,Yes,No,165
166,M1,1.4,A,CNG,2,0,No,Yes,No,166
167,M4,0.2,C2,Diesel,6,3,Yes,Yes,Yes,167
168,M1,0.6,A,CNG,2,0,No,Yes,No,168
169,M4,2.0,C2,Diesel,6,3,Yes,Yes,Yes,169
170,M4,3.8,C2,Diesel,6,3,Yes,Yes,Yes,170
171,M4,3.8,C2,Diesel,6,3,Yes,Yes,Yes,171
172,M4,6.4,C2,Diesel,6,3,Yes,Yes,Yes,172
173,M4,0.6,C2,Diesel,6,3,Yes,Yes,Yes,173
174,M6,1.0,B2,Petrol,2,2,No,Yes,Yes,174
175,M4,3.4,C2,Diesel,6,3,Yes,Yes,Yes,175
176,M6,3.2,B2,Petrol,2,2,No,Yes,Yes,176
177,M6,0.6,B2,Petrol,2,2,No,Yes,Yes,177
178,M3,0.8,A,Petrol,2,2,Yes,Yes,No,178
179,M1,0.8,A,CNG,2,0,No,Yes,No,179
180,M6,2.0,B2,Petrol,2,2,No,Yes,Yes,180
181,M6,4.0,B2,Petrol,2,2,No,Yes,Yes,181
182,M2,1.0,C1,Petrol,2,2,Yes,Yes,Yes,182
183,M1,0.8,A,CNG,2,0,No,Yes,No,183
184,M1,0.0,A,CNG,2,0,No,Yes,No,184
185,M4,1.6,C2,Diesel,6,3,Yes,Yes,Yes,185
186,M7,0.8,B2,Petrol,6,0,Yes,Yes,Yes,186
187,M9,0.6,C1,Diesel,2,4,Yes,Yes,No,187
188,M6,1.2,B2,Petrol,2,2,No,Yes,Yes,188
189,M8,3.4,B1,CNG,2,2,No,Yes,No,189
190,M1,1.0,A,CNG,2,0,No,Yes,No,190
191,M8,0.6,B1,CNG,2,2,No,Yes,No,191
192,M4,1.8,C2,Diesel,6,3,Yes,Yes,Yes,192
193,M6,2.4,B2,Petrol,2,2,No,Yes,Yes,193
194,M1,0.2,A,CNG,2,0,No,Yes,No,194
195,M10,1.0,Utility,CNG,1,0,No,Yes,No,195
196,M1,0.2,A,CNG,2,0,No,Yes,No,196
197,M1,0.0,A,CNG,2,0,No,Yes,No,197
198,M6,1.8,B2,Petrol,2,2,No,Yes,Yes,198
199,M4,2.4,C2,Diesel,6,3,Yes,Yes,Yes,199
200,M10,1.0,Utility,CNG,1,0,No,Yes,No,200
201,M10,3.6,Utility,CNG,1,0,No,Yes,No,201
202,M6,1.0,B2,Petrol,2,2,No,Yes,Yes,202
203,M1,0.0,A,CNG,2,0,No,Yes,No,203
204,M1,0.2,A,CNG,2,0,No,Yes,No,204
205,M1,0.2,A,CNG,2,0,No,Yes,No,205
206,M1,0.4,A,CNG,2,0,No,Yes,No,206
207,M1,0.2,A,CNG,2,0,No,Yes,No,207
208,M1,0.8,A,CNG,2,0,No,Yes,No,208
209,M4,0.2,C2,Diesel,6,3,Yes,Yes,Yes,209
210,M4,2.2,C2,Diesel,6,3,Yes,Yes,Yes,210
211,M8,0.2,B1,CNG,2,2,No,Yes,No,211
212,M3,2.8,A,Petrol,2,2,Yes,Yes,No,212
213,M4,1.0,C2,Diesel,6,3,Yes,Yes,Yes,213
214,M3,0.8,A,Petrol,2,2,Yes,Yes,No,214
215,M6,2.0,B2,Petrol,2,2,No,Yes,Yes,215
216,M8,2.0,B1,CNG,2,2,No,Yes,No,216
217,M4,2.8,C2,Diesel,6,3,Yes,Yes,Yes,217
218,M7,1.0,B2,Petrol,6,0,Yes,Yes,Yes,218
219,M1,0.2,A,CNG,2,0,No,Yes,No,219
220,M10,0.2,Utility,CNG,1,0,No,Yes,No,220
221,M6,0.6,B2,Petrol,2,2,No,Yes,Yes,221
222,M6,0.2,B2,Petrol,2,2,No,Yes,Yes,222
223,M6,0.4,B2,Petrol,2,2,No,Yes,Yes,223
224,M10,2.6,Utility,CNG,1,0,No,Yes,No,224
225,M6,2.8,B2,Petrol,2,2,No,Yes,Yes,225
226,M1,2.0,A,CNG,2,0,No,Yes,No,226
227,M8,1.0,B1,CNG,2,2,No,Yes,No,227
228,M4,3.0,C2,Diesel,6,3,Yes,Yes,Yes,228
229,M6,2.2,B2,Petrol,2,2,No,Yes,Yes,229
230,M7,2.6,B2,Petrol,6,0,Yes,Yes,Yes,230
231,M6,2.6,B2,Petrol,2,2,No,Yes,Yes,231
232,M4,2.2,C2,Diesel,6,3,Yes,Yes,Yes,232
233,M6,1.8,B2,Petrol,2,2,No,Yes,Yes,233
234,M1,3.6,A,CNG,2,0,No,Yes,No,234
235,M8,2.8,B1,CNG,2,2,No,Yes,No,235
236,M9,1.0,C1,Diesel,2,4,Yes,Yes,No,236
237,M1,0.2,A,CNG,2,0,No,Yes,No,237
238,M4,2.2,C2,Diesel,6,3,Yes,Yes,Yes,238
239,M5,0.6,B2,Diesel,2,5,No,Yes,No,239
240,M6,1.6,B2,Petrol,2,2,No,Yes,Yes,240
241,M5,1.0,B2,Diesel,2,5,No,Yes,No,241
242,M1,0.0,A,CNG,2,0,No,Yes,No,242
243,M8,0.0,B1,CNG,2,2,No,Yes,No,243
244,M1,1.2,A,CNG,2,0,No,Yes,No,244
245,M6,0.6,B2,Petrol,2,2,No,Yes,Yes,245
246,M4,6.2,C2,Diesel,6,3,Yes,Yes,Yes,246
247,M6,3.4,B2,Petrol,2,2,No,Yes,Yes,247
248,M4,2.8,C2,Diesel,6,3,Yes,Yes,Yes,248
249,M4,2.4,C2,Diesel,6,3,Yes,Yes,Yes,249
250,M4,1.0,C2,Diesel,6,3,Yes,Yes,Yes,250
251,M9,1.4,C1,Diesel,2,4,Yes,Yes,No,251
252,M1,1.2,A,CNG,2,0,No,Yes,No,252
253,M9,1.4,C1,Diesel,2,4,Yes,Yes,No,253
254,M4,1.6,C2,Diesel,6,3,Yes,Yes,Yes,254
255,M5,1.4,B2,Diesel,2,5,No,Yes,No,255
256,M7,0.8,B2,Petrol,6,0,Yes,Yes,Yes,256
257,M6,0.2,B2,Petrol,2,2,No,Yes,Yes,257
258,M4,0.8,C2,Diesel,6,3,Yes,Yes,Yes,258
259,M4,2.2,C2,Diesel,6,3,Yes,Yes,Yes,259
260,M4,2.0,C2,Diesel,6,3,Yes,Yes,Yes,260
261,M3,1.4,A,Petrol,2,2,Yes,Yes,No,261
262,M4,1.8,C2,Diesel,6,3,Yes,Yes,Yes,262
263,M4,2.2,C2,Diesel,6,3,Yes,Yes,Yes,263
264,M9,1.6,C1,Diesel,2,4,Yes,Yes,No,264
265,M6,1.6,B2,Petrol,2,2,No,Yes,Yes,265
266,M6,1.4,B2,Petrol,2,2,No,Yes,Yes,266
267,M2,4.6,C1,Petrol,2,2,Yes,Yes,Yes,267
268,M4,2.8,C2,Diesel,6,3,Yes,Yes,Yes,268
269,M8,1.0,B1,CNG,2,2,No,Yes,No,269
270,M1,0.4,A,CNG,2,0,No,Yes,No,270
271,M8,0.6,B1,CNG,2,2,No,Yes,No,271
272,M3,1.8,A,Petrol,2,2,Yes,Yes,No,272
273,M1,1.2,A,CNG,2,0,No,Yes,No,273
274,M6,2.2,B2,Petrol,2,2,No,Yes,Yes,274
275,M4,0.8,C2,Diesel,6,3,Yes,Yes,Yes,275
276,M4,2.8,C2,Diesel,6,3,Yes,Yes,Yes,276
277,M1,0.4,A,CNG,2,0,No,Yes,No,277
278,M9,1.0,C1,Diesel,2,4,Yes,Yes,No,278
279,M4,1.4,C2,Diesel,6,3,Yes,Yes,Yes,279
280,M4,1.2,C2,Diesel,6,3,Yes,Yes,Yes,280
281,M5,2.0,B2,Diesel,2,5,No,Yes,No,281
282,M3,0.6,A,Petrol,2,2,Yes,Yes,No,282
283,M1,0.2,A,CNG,2,0,No,Yes,No,283
284,M4,0.4,C2,Diesel,6,3,Yes,Yes,Yes,284
285,M1,0.2,A,CNG,2,0,No,Yes,No,285
286,M4,1.8,C2,Diesel,6,3,Yes,Yes,Yes,286
287,M1,0.6,A,CNG,2,0,No,Yes,No,287
288,M1,2.0,A,CNG,2,0,No,Yes,No,288
289,M1,0.0,A,CNG,2,0,No,Yes,No,289
290,M6,2.2,B2,Petrol,2,2,No,Yes,Yes,290
291,M4,2.6,C2,Diesel,6,3,Yes,Yes,Yes,291
292,M8,0.2,B1,CNG,2,2,No,Yes,No,292
293,M5,0.6,B2,Diesel,2,5,No,Yes,No,293
294,M6,2.4,B2,Petrol,2,2,No,Yes,Yes,294
295,M10,0.2,Utility,CNG,1,0,No,Yes,No,295
296,M8,0.6,B1,CNG,2,2,No,Yes,No,296
297,M6,2.2,B2,Petrol,2,2,No,Yes,Yes,297
298,M1,1.0,A,CNG,2,0,No,Yes,No,298
299,M9,0.8,C1,Diesel,2,4,Yes,Yes,No,299
300,M8,1.0,B1,CNG,2,2,No,Yes,No,300
301,M1,0.0,A,CNG,2,0,No,Yes,No,301
302,M6,0.0,B2,Petrol,2,2,No,Yes,Yes,302
303,M8,1.6,B1,CNG,2,2,No,Yes,No,303
304,M6,2.2,B2,Petrol,2,2,No,Yes,Yes,304
305,M4,1.0,C2,Diesel,6,3,Yes,Yes,Yes,305
306,M7,2.4,B2,Petrol,6,0,Yes,Yes,Yes,306
307,M1,0.2,A,CNG,2,0,No,Yes,No,307
308,M7,0.8,B2,Petrol,6,0,Yes,Yes,Yes,308
309,M7,1.4,B2,Petrol,6,0,Yes,Yes,Yes,309
310,M6,2.6,B2,Petrol,2,2,No,Yes,Yes,310
311,M6,0.0,B2,Petrol,2,2,No,Yes,Yes,311
312,M5,0.8,B2,Diesel,2,5,No,Yes,No,312
313,M6,1.2,B2,Petrol,2,2,No,Yes,Yes,313
314,M7,1.0,B2,Petrol,6,0,Yes,Yes,Yes,314
315,M6,2.2,B2,Petrol,2,2,No,Yes,Yes,315
316,M4,3.2,C2,Diesel,6,3,Yes,Yes,Yes,316
317,M1,0.2,A,CNG,2,0,No,Yes,No,317
318,M1,3.4,A,CNG,2,0,No,Yes,No,318
319,M1,0.6,A,CNG,2,0,No,Yes,No,319
320,M9,0.8,C1,Diesel,2,4,Yes,Yes,No,320
321,M5,2.0,B2,Diesel,2,5,No,Yes,No,321
322,M6,2.6,B2,Petrol,2,2,No,Yes,Yes,322
323,M1,3.4,A,CNG,2,0,No,Yes,No,323
324,M4,0.2,C2,Diesel,6,3,Yes,Yes,Yes,324
325,M4,0.8,C2,Diesel,6,3,Yes,Yes,Yes,325
326,M1,0.2,A,CNG,2,0,No,Yes,No,326
327,M7,1.0,B2,Petrol,6,0,Yes,Yes,Yes,327
328,M10,2.0,Utility,CNG,1,0,No,Yes,No,328
329,M1,0.2,A,CNG,2,0,No,Yes,No,329
330,M6,3.2,B2,Petrol,2,2,No,Yes,Yes,330
331,M6,1.0,B2,Petrol,2,2,No,Yes,Yes,331
332,M2,1.2,C1,Petrol,2,2,Yes,Yes,Yes,332
333,M1,0.0,A,CNG,2,0,No,Yes,No,333
334,M4,2.8,C2,Diesel,6,3,Yes,Yes,Yes,334
335,M6,2.6,B2,Petrol,2,2,No,Yes,Yes,335
336,M6,0.6,B2,Petrol,2,2,No,Yes,Yes,336
337,M8,1.0,B1,CNG,2,2,No,Yes,No,337
338,M1,0.6,A,CNG,2,0,No,Yes,No,338
339,M6,0.8,B2,Petrol,2,2,No,Yes,Yes,339
340,M6,2.0,B2,Petrol,2,2,No,Yes,Yes,340
341,M4,1.6,C2,Diesel,6,3,Yes,Yes,Yes,341
342,M9,0.0,C1,Diesel,2,4,Yes,Yes,No,342
343,M1,0.6,A,CNG,2,0,No,Yes,No,343
344,M6,2.0,B2,Petrol,2,2,No,Yes,Yes,344
345,M1,0.0,A,CNG,2,0,No,Yes,No,345
346,M6,3.4,B2,Petrol,2,2,No,Yes,Yes,346
347,M4,0.4,C2,Diesel,6,3,Yes,Yes,Yes,347
348,M9,3.0,C1,Diesel,2,4,Yes,Yes,No,348
349,M1,1.4,A,CNG,2,0,No,Yes,No,349
350,M1,0.8,A,CNG,2,0,No,Yes,No,350
351,M1,0.2,A,CNG,2,0,No,Yes,No,351
352,M1,0.4,A,CNG,2,0,No,Yes,No,352
353,M10,2.8,Utility,CNG,1,0,No,Yes,No,353
354,M4,0.0,C2,Diesel,6,3,Yes,Yes,Yes,354
355,M11,2.2,C1,Petrol,2,5,Yes,No,Yes,355
356,M6,1.6,B2,Petrol,2,2,No,Yes,Yes,356
357,M1,0.4,A,CNG,2,0,No,Yes,No,357
358,M1,2.2,A,CNG,2,0,No,Yes,No,358
359,M8,0.6,B1,CNG,2,2,No,Yes,No,359
360,M6,0.4,B2,Petrol,2,2,No,Yes,Yes,360
361,M4,1.8,C2,Diesel,6,3,Yes,Yes,Yes,361
362,M9,0.4,C1,Diesel,2,4,Yes,Yes,No,362
363,M1,0.0,A,CNG,2,0,No,Yes,No,363
364,M4,1.6,C2,Diesel,6,3,Yes,Yes,Yes,364
365,M4,1.4,C2,Diesel,6,3,Yes,Yes,Yes,365
366,M4,1.2,C2,Diesel,6,3,Yes,Yes,Yes,366
367,M5,2.8,B2,Diesel,2,5,No,Yes,No,367
368,M1,0.2,A,CNG,2,0,No,Yes,No,368
369,M6,1.8,B2,Petrol,2,2,No,Yes,Yes,369
370,M1,0.6,A,CNG,2,0,No,Yes,No,370
371,M4,1.2,C2,Diesel,6,3,Yes,Yes,Yes,371
372,M1,0.4,A,CNG,2,0,No,Yes,No,372
373,M1,0.6,A,CNG,2,0,No,Yes,No,373
374,M1,0.2,A,CNG,2,0,No,Yes,No,374
375,M8,0.2,B1,CNG,2,2,No,Yes,No,375
376,M1,0.0,A,CNG,2,0,No,Yes,No,376
377,M1,0.8,A,CNG,2,0,No,Yes,No,377
378,M10,1.4,Utility,CNG,1,0,No,Yes,No,378
379,M1,0.2,A,CNG,2,0,No,Yes,No,379
380,M4,2.4,C2,Diesel,6,3,Yes,Yes,Yes,380
381,M1,0.0,A,CNG,2,0,No,Yes,No,381
382,M1,0.6,A,CNG,2,0,No,Yes,No,382
383,M4,0.2,C2,Diesel,6,3,Yes,Yes,Yes,383
384,M11,3.6,C1,Petrol,2,5,Yes,No,Yes,384
385,M6,2.0,B2,Petrol,2,2,No,Yes,Yes,385
386,M6,1.0,B2,Petrol,2,2,No,Yes,Yes,386
387,M1,0.0,A,CNG,2,0,No,Yes,No,387
388,M4,0.4,C2,Diesel,6,3,Yes,Yes,Yes,388
389,M4,0.4,C2,Diesel,6,3,Yes,Yes,Yes,389
390,M4,0.2,C2,Diesel,6,3,Yes,Yes,Yes,390
391,M7,3.2,B2,Petrol,6,0,Yes,Yes,Yes,391
392,M1,1.6,A,CNG,2,0,No,Yes,No,392
393,M4,2.0,C2,Diesel,6,3,Yes,Yes,Yes,393
394,M8,2.2,B1,CNG,2,2,No,Yes,No,394
395,M2,2.6,C1,Petrol,2,2,Yes,Yes,Yes,395
396,M1,0.0,A,CNG,2,0,No,Yes,No,396
397,M5,0.2,B2,Diesel,2,5,No,Yes,No,397
398,M7,0.8,B2,Petrol,6,0,Yes,Yes,Yes,398
399,M4,2.6,C2,Diesel,6,3,Yes,Yes,Yes,399
400,M1,0.2,A,CNG,2,0,No,Yes,No,400
401,M6,2.0,B2,Petrol,2,2,No,Yes,Yes,401
402,M6,0.8,B2,Petrol,2,2,No,Yes,Yes,402
403,M1,0.6,A,CNG,2,0,No,Yes,No,403
404,M4,1.4,C2,Diesel,6,3,Yes,Yes,Yes,404
405,M1,0.2,A,CNG,2,0,No,Yes,No,405
406,M6,2.8,B2,Petrol,2,2,No,Yes,Yes,406
407,M8,2.4,B1,CNG,2,2,No,Yes,No,407
408,M1,0.8,A,CNG,2,0,No,Yes,No,408
409,M1,0.2,A,CNG,2,0,No,Yes,No,409
410,M1,1.8,A,CNG,2,0,No,Yes,No,410
411,M9,1.0,C1,Diesel,2,4,Yes,Yes,No,411
412,M5,4.6,B2,Diesel,2,5,No,Yes,No,412
413,M1,0.6,A,CNG,2,0,No,Yes,No,413
414,M8,2.2,B1,CNG,2,2,No,Yes,No,414
415,M1,1.0,A,CNG,2,0,No,Yes,No,415
416,M6,0.2,B2,Petrol,2,2,No,Yes,Yes,416
417,M6,0.2,B2,Petrol,2,2,No,Yes,Yes,417
418,M8,1.0,B1,CNG,2,2,No,Yes,No,418
419,M4,2.6,C2,Diesel,6,3,Yes,Yes,Yes,419
420,M1,0.0,A,CNG,2,0,No,Yes,No,420
421,M4,1.4,C2,Diesel,6,3,Yes,Yes,Yes,421
422,M1,0.0,A,CNG,2,0,No,Yes,No,422
423,M1,0.8,A,CNG,2,0,No,Yes,No,423
424,M1,0.4,A,CNG,2,0,No,Yes,No,424
425,M4,3.2,C2,Diesel,6,3,Yes,Yes,Yes,425
426,M7,0.8,B2,Petrol,6,0,Yes,Yes,Yes,426
427,M1,0.0,A,CNG,2,0,No,Yes,No,427
428,M7,3.0,B2,Petrol,6,0,Yes,Yes,Yes,428
429,M7,0.6,B2,Petrol,6,0,Yes,Yes,Yes,429
430,M1,0.4,A,CNG,2,0,No,Yes,No,430
431,M4,3.0,C2,Diesel,6,3,Yes,Yes,Yes,431
432,M8,0.0,B1,CNG,2,2,No,Yes,No,432
